"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","2","0","46","0","0"
"","Evaluate arrays module","User is able to navigate to tryeditor page and run invalid python code","0","0","8","0","0"
"","Evaluate Linkedlist Module","user navigating to Introduction of LinkedlistPage and using Data from Excel to evaluate","0","0","2","0","0"
"","Evaluate Linkedlist Module","User navigating to Insertion of Linked list page","0","0","2","0","0"
"","User enter valid and invalid credentials for login","User on login page and login with inavalid and validinputs from Excel""Sheet1"" and3","0","0","1","0","0"
"","User enter valid and invalid credentials for login","User on login page and login with inavalid and validinputs from Excel""Sheet1"" and0","0","0","1","0","0"
"","Evaluate Data stuructures Introduction","User is able to navigate to practice questions","0","0","1","0","0"
"","feature to test new user registration","user navigate to registration page","1","0","10","0","0"
"","Evaluate arrays module","User is able to navigate to tryeditor page and run valid python code","0","0","8","0","0"
"","Evaluate Linkedlist Module","User navigating to Creating a Linked list page","0","0","2","0","0"
"","Evaluate Linkedlist Module","User navigating to Implement Linked list page","0","0","2","0","0"
"","Evaluate Linkedlist Module","User navigating to Traversal of Linked list page","0","0","2","0","0"
"","Evaluate arrays module","The user is able to navigate to a page having Arrays in Python Topic","0","0","1","0","0"
"","Evaluate Linkedlist Module","User navigating to Types of Linked list page","0","0","2","0","0"
"","User enter valid and invalid credentials for login","User on login page and login with inavalid and validinputs from Excel""Sheet1"" and1","0","0","1","0","0"
"","Evaluate Linkedlist Module","User navigating to Deletion of Linked list page","0","0","2","0","0"
"","Evaluate Linkedlist Module","User is Logged in to DSAlgo portal","0","0","1","0","0"
"","User enter valid and invalid credentials for login","User on login page and login with inavalid and validinputs from Excel""Sheet1"" and2","0","0","1","0","0"
"","evaluate home page","User navigate to home page","0","0","1","0","0"
"","Evaluate Linkedlist Module","User Navigating to LinkedList Page","0","0","1","0","0"
"","evaluate home page","Launch url and navigate to home page","0","0","1","0","0"
"","feature to test ds algo portal link","Launch url and navigate to home page","0","0","1","0","0"
"","Evaluate Linkedlist Module","User validating Practice Questions Page","0","0","1","0","0"
"","Evaluate Data stuructures Introduction","User is able to navigate to tryeditor page and run invalid python code","0","0","1","0","0"
"","Evaluate Data stuructures Introduction","User is able to navigate Data Structures Introduction","0","0","1","0","0"
